time,lat ,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
2021-10-10 15:11:53.20,50.8986399,-3.2144513,4231.045,22.68,-19.69,27.95,3.703,4.475,1.08,319.04045,1.63444,3,14
2021-10-10 15:11:53.40,50.8986812,-3.2145081,4225.210,23.12,-19.99,28.61,3.709,4.488,1.05,319.15817,1.55239,3,14
2021-10-10 15:11:53.60,50.8987231,-3.2145647,4219.183,23.45,-19.83,29.11,3.714,4.498,1.01,319.78334,1.48441,3,14
2021-10-10 15:11:53.80,50.8987652,-3.2146217,4213.284,23.46,-19.84,29.54,3.718,4.505,0.99,319.77350,1.51608,3,14
2021-10-10 15:11:54.00,50.8988078,-3.2146782,4207.123,23.92,-19.61,30.26,3.718,4.508,0.97,320.65849,1.41896,3,14
2021-10-10 15:11:54.20,50.8988515,-3.2147344,4201.067,24.65,-19.07,30.83,3.713,4.503,0.93,322.26581,1.33607,3,14
2021-10-10 15:11:54.40,50.8988969,-3.2147884,4194.890,25.57,-18.37,31.36,3.709,4.498,0.95,324.30907,1.29277,3,14
2021-10-10 15:11:54.60,50.8989435,-3.2148405,4188.612,26.25,-17.68,31.87,3.706,4.490,0.95,326.03458,1.31809,3,14
2021-10-10 15:11:54.80,50.8989918,-3.2148903,4182.284,27.21,-17.17,31.87,3.703,4.485,0.93,327.75153,1.26359,3,14
2021-10-10 15:11:55.00,50.8990422,-3.2149371,4175.892,28.23,-16.14,31.58,3.701,4.482,0.99,330.24015,1.30082,3,14
2021-10-10 15:11:55.20,50.8990943,-3.2149804,4169.432,29.34,-14.88,31.57,3.699,4.477,0.99,333.09838,1.25199,3,14
2021-10-10 15:11:55.40,50.8991481,-3.2150212,4163.102,30.15,-14.02,31.50,3.699,4.476,0.97,335.05963,1.24226,3,14
2021-10-10 15:11:55.60,50.8992025,-3.2150606,4156.929,30.43,-13.75,31.02,3.698,4.473,0.93,335.69233,1.18333,3,14
2021-10-10 15:11:55.80,50.8992578,-3.2150987,4150.612,30.70,-13.70,30.79,3.696,4.475,0.94,335.94831,1.15381,3,14
2021-10-10 15:11:56.00,50.8993138,-3.2151368,4144.355,31.17,-13.90,30.40,3.697,4.478,0.98,335.97099,1.16238,3,14
2021-10-10 15:11:56.20,50.8993707,-3.2151757,4138.396,31.57,-13.88,29.61,3.701,4.484,1.01,336.26852,1.16253,3,14
2021-10-10 15:11:56.40,50.8994276,-3.2152153,4132.439,31.60,-14.41,29.21,3.704,4.489,1.02,335.48750,1.17149,3,14
2021-10-10 15:11:56.60,50.8994844,-3.2152559,4126.651,31.63,-14.73,28.44,3.708,4.493,1.02,335.02807,1.17209,3,14
2021-10-10 15:11:56.80,50.8995413,-3.2152980,4120.912,31.62,-15.23,28.17,3.711,4.497,1.02,334.27832,1.16169,3,14
2021-10-10 15:11:57.00,50.8995980,-3.2153413,4115.214,31.56,-15.73,27.85,3.715,4.502,1.04,333.50213,1.16749,3,14
