time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
2023-09-18 13:56:00.60,54.7658725,-1.3811545,143.779,7.98,-17.62,0.07,1.509,2.743,0.40,294.37759,0.79946,3,20
2023-09-18 13:56:00.80,54.7658868,-1.3812099,143.808,8.03,-18.07,0.10,1.505,2.730,0.42,293.95672,0.61408,3,20
2023-09-18 13:56:01.00,54.7659009,-1.3812669,143.673,8.08,-18.73,0.35,1.500,2.713,0.41,293.33925,0.53268,3,20
2023-09-18 13:56:01.20,54.7659154,-1.3813258,143.616,8.33,-19.22,0.26,1.495,2.701,0.38,293.43946,0.64230,3,20
2023-09-18 13:56:01.40,54.7659303,-1.3813861,143.623,8.36,-19.65,0.09,1.491,2.690,0.38,293.05157,0.65061,3,20
2023-09-18 13:56:01.60,54.7659457,-1.3814476,143.570,8.73,-20.09,0.20,1.487,2.676,0.41,293.48405,0.52841,3,20
2023-09-18 13:56:01.80,54.7659614,-1.3815104,143.483,8.79,-20.47,0.27,1.481,2.659,0.37,293.24424,0.49070,3,20
2023-09-18 13:56:02.00,54.7659776,-1.3815747,143.466,9.11,-21.00,0.12,1.476,2.646,0.39,293.46349,0.52525,3,19
2023-09-18 13:56:02.20,54.7659942,-1.3816404,143.442,9.31,-21.43,0.29,1.470,2.632,0.40,293.49362,0.44825,3,19
2023-09-18 13:56:02.40,54.7660110,-1.3817080,143.409,9.45,-22.24,0.13,1.468,2.624,0.47,293.01734,0.52848,3,20
2023-09-18 13:56:02.60,54.7660277,-1.3817772,143.277,9.18,-22.59,0.62,1.468,2.618,0.46,292.12820,0.52522,3,20
2023-09-18 13:56:02.80,54.7660448,-1.3818479,143.278,9.70,-22.86,0.25,1.467,2.611,0.44,293.00230,0.48957,3,19
2023-09-18 13:56:03.00,54.7660628,-1.3819196,143.313,10.07,-23.22,0.30,1.463,2.595,0.45,293.45613,0.48754,3,19
2023-09-18 13:56:03.20,54.7660811,-1.3819928,143.268,10.26,-23.75,0.13,1.462,2.586,0.50,293.35212,0.62105,3,20
2023-09-18 13:56:03.40,54.7660992,-1.3820677,143.169,10.13,-24.28,0.30,1.462,2.578,0.47,292.63892,0.54030,3,20
2023-09-18 13:56:03.60,54.7661175,-1.3821440,143.077,10.48,-24.69,0.10,1.462,2.569,0.44,292.99141,0.51988,3,20
2023-09-18 13:56:03.80,54.7661367,-1.3822214,143.077,10.88,-24.94,-0.04,1.460,2.556,0.44,293.57020,0.44175,3,20
