 ime,la ,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
2023-10-01 10:03:02.00,46.5776751,8.0012131,3709.103,-0.07,0.01,-0.09,38.644,59.435,0.59,0.00000,45.78502,3,8

2023-10-01 10:03:02.20,46.5776779,8.0012009,3709.161,-0.01,-0.17,-0.11,28.777,44.029,0.67,0.00000,45.78635,3,6

2023-10-01 10:03:02.40,46.5776777,8.0011784,3711.576,0.04,-0.18,-0.06,23.511,35.917,0.55,0.00000,45.78743,3,7

2023-10-01 10:03:02.60,46.5776792,8.0011695,3711.859,-0.04,-0.01,-0.13,20.144,30.768,0.54,0.00000,45.78848,3,8

2023-10-01 10:03:02.80,46.5776765,8.0011620,3712.275,-0.03,-0.05,-0.06,16.945,26.369,0.53,0.00000,45.78953,3,10

2023-10-01 10:03:03.00,46.5776758,8.0011615,3712.309,-0.04,-0.12,-0.09,15.061,23.389,0.51,0.00000,45.79052,3,11

2023-10-01 10:03:03.20,46.5776737,8.0011677,3711.725,0.03,0.06,-0.19,13.255,20.571,0.37,0.00000,45.79125,3,11

2023-10-01 10:03:03.40,46.5776711,8.0011671,3711.769,0.09,-0.04,-0.14,11.724,18.370,0.34,0.00000,45.79193,3,11

2023-10-01 10:03:03.60,46.5776702,8.0011712,3711.347,0.08,0.06,-0.12,10.526,16.452,0.26,0.00000,45.79245,3,16

2023-10-01 10:03:03.80,46.5776685,8.0011702,3711.533,-0.01,0.03,-0.04,9.502,14.864,0.26,0.00000,45.79295,3,16

2023-10-01 10:03:04.00,46.5776680,8.0011682,3711.889,0.07,0.09,-0.06,8.826,13.722,0.26,0.00000,45.79346,3,16

2023-10-01 10:03:04.20,46.5776668,8.0011654,3712.450,0.04,-0.03,-0.01,8.132,12.613,0.17,0.00000,45.79381,3,15

2023-10-01 10:03:04.40,46.5776662,8.0011597,3713.246,0.01,-0.02,-0.05,7.494,11.644,0.33,0.00000,45.79445,3,16

2023-10-01 10:03:04.60,46.5776657,8.0011559,3713.780,-0.03,0.04,-0.01,6.870,10.722,0.16,0.00000,45.79478,3,16

2023-10-01 10:03:04.80,46.5776651,8.0011528,3714.209,-0.04,-0.11,0.01,6.354,9.920,0.23,0.00000,45.79523,3,16

2023-10-01 10:03:05.00,46.5776646,8.0011511,3714.418,-0.01,-0.06,0.00,5.921,9.248,0.22,0.00000,45.79567,3,16

2023-10-01 10:03:05.20,46.5776640,8.0011497,3714.600,-0.08,-0.04,-0.05,5.590,8.726,0.26,0.00000,45.79617,3,16

2023-10-01 10:03:05.40,46.5776646,8.0011489,3714.638,-0.13,-0.08,-0.09,5.323,8.288,0.26,0.00000,45.79669,3,15

2023-10-01 10:03:05.60,46.5776638,8.0011497,3714.591,-0.02,-0.07,-0.11,5.064,7.876,0.30,0.00000,45.79728,3,16

2023-10-01 10:03:05.80,46.5776645,8.0011486,3714.740,-0.07,-0.05,-0.09,4.828,7.495,0.28,0.00000,45.79783,3,16

2023-10-01 10:03:06.00,46.5776643,8.0011490,3714.720,-0.09,-0.10,-0.06,4.634,7.183,0.26,0.00000,45.79835,3,16

2023-10-01 10:03:06.20,46.5776642,8.0011486,3714.703,-0.03,-0.05,-0.13,4.439,6.858,0.28,0.00000,45.79890,3,16

2023-10-01 10:03:06.40,46.5776645,8.0011487,3714.674,0.00,0.00,-0.15,4.262,6.568,0.27,0.00000,45.79944,3,16

2023-10-01 10:03:06.60,46.5776647,8.0011482,3714.746,-0.01,0.02,-0.07,4.099,6.305,0.25,0.00000,45.79993,3,16

2023-10-01 10:03:06.80,46.5776645,8.0011475,3714.893,0.00,-0.05,-0.13,3.952,6.072,0.27,0.00000,45.80045,3,16

2023-10-01 10:03:07.00,46.5776648,8.0011476,3714.891,0.09,0.05,-0.15,3.816,5.867,0.21,0.00000,45.80087,3,16

2023-10-01 10:03:07.20,46.5776653,8.0011477,3714.914,0.05,0.00,-0.17,3.699,5.688,0.24,0.00000,45.80135,3,16

2023-10-01 10:03:07.40,46.5776651,8.0011470,3715.005,0.03,-0.07,-0.06,3.589,5.523,0.24,0.00000,45.80182,3,16

2023-10-01 10:03:07.60,46.5776656,8.0011469,3715.050,0.01,-0.04,-0.11,3.499,5.383,0.26,0.00000,45.80234,3,16

2023-10-01 10:03:07.80,46.5776652,8.0011472,3715.070,0.05,-0.05,-0.08,3.434,5.286,0.27,0.00000,45.80288,3,16

2023-10-01 10:03:08.00,46.5776650,8.0011470,3715.113,-0.08,-0.08,-0.04,3.371,5.190,0.24,0.00000,45.80334,3,16

2023-10-01 10:03:08.20,46.5776652,8.0011463,3715.140,-0.13,-0.25,0.06,3.313,5.098,0.23,0.00000,45.80392,3,16

2023-10-01 10:03:08.40,46.5776653,8.0011456,3715.165,-0.05,-0.14,-0.06,3.270,5.016,0.28,0.00000,45.80446,3,16

2023-10-01 10:03:08.60,46.5776655,8.0011451,3715.198,-0.08,-0.21,-0.05,3.228,4.938,0.27,0.00000,45.80498,3,16

2023-10-01 10:03:08.80,46.5776657,8.0011446,3715.241,0.01,-0.16,-0.18,3.191,4.868,0.29,0.00000,45.80556,3,16

2023-10-01 10:03:09.00,46.5776660,8.0011445,3715.224,0.04,-0.11,-0.13,3.158,4.807,0.31,0.00000,45.80616,3,16

2023-10-01 10:03:09.20,46.5776664,8.0011444,3715.224,0.01,-0.16,-0.11,3.128,4.748,0.30,0.00000,45.80675,3,16

2023-10-01 10:03:09.40,46.5776666,8.0011439,3715.245,-0.02,-0.17,-0.04,3.099,4.691,0.30,0.00000,45.80734,3,16

2023-10-01 10:03:09.60,46.5776667,8.0011434,3715.288,-0.05,-0.08,-0.12,3.071,4.633,0.31,0.00000,45.80794,3,16

2023-10-01 10:03:09.80,46.5776668,8.0011434,3715.305,-0.19,-0.07,-0.18,3.042,4.578,0.26,0.00000,45.80848,3,16

2023-10-01 10:03:10.00,46.5776666,8.0011430,3715.397,-0.16,0.03,-0.15,3.016,4.526,0.24,0.00000,45.80895,3,16

2023-10-01 10:03:10.20,46.5776665,8.0011431,3715.415,-0.15,-0.07,-0.06,2.991,4.479,0.27,0.00000,45.80948,3,16

2023-10-01 10:03:10.40,46.5776664,8.0011429,3715.454,-0.09,-0.07,-0.11,2.968,4.432,0.31,0.00000,45.81009,3,16

2023-10-01 10:03:10.60,46.5776664,8.0011429,3715.480,-0.05,0.01,-0.13,2.946,4.388,0.29,0.00000,45.81066,3,16

2023-10-01 10:03:10.80,46.5776667,8.0011429,3715.494,0.13,-0.16,-0.20,2.931,4.354,0.32,0.00000,45.81128,3,16

2023-10-01 10:03:11.00,46.5776672,8.0011430,3715.535,0.31,0.15,-0.23,2.899,4.307,0.17,16.30338,36.65582,3,16

2023-10-01 10:03:11.20,46.5776676,8.0011437,3715.559,0.10,0.25,-0.16,2.865,4.262,0.20,16.30338,36.65659,3,16

2023-10-01 10:03:11.40,46.5776676,8.0011439,3715.636,0.01,0.15,-0.19,2.822,4.209,0.23,16.30338,36.65719,3,16

2023-10-01 10:03:11.60,46.5776674,8.0011440,3715.653,-0.11,0.04,-0.04,2.776,4.150,0.22,16.30338,36.65773,3,16

2023-10-01 10:03:11.80,46.5776672,8.0011434,3715.675,0.05,-0.23,-0.01,2.722,4.080,0.21,16.30338,36.65831,3,16

2023-10-01 10:03:12.00,46.5776671,8.0011434,3715.624,0.01,-0.16,0.02,2.690,4.035,0.27,16.30338,36.65898,3,16

2023-10-01 10:03:12.20,46.5776669,8.0011436,3715.601,-0.21,0.19,-0.05,2.656,3.991,0.21,72.61724,39.52323,3,16

2023-10-01 10:03:12.40,46.5776662,8.0011443,3715.570,-0.50,0.08,-0.02,2.622,3.945,0.18,147.91500,21.81317,3,16

2023-10-01 10:03:12.60,46.5776653,8.0011445,3715.562,-0.50,0.09,0.11,2.596,3.908,0.32,156.81858,26.17106,3,15

2023-10-01 10:03:12.80,46.5776647,8.0011458,3715.409,-0.25,0.37,0.42,2.567,3.867,0.25,141.86904,27.95282,3,15

2023-10-01 10:03:13.00,46.5776642,8.0011473,3715.254,-0.27,0.22,0.13,2.514,3.795,0.30,141.54090,36.80456,3,16

2023-10-01 10:03:13.20,46.5776638,8.0011472,3715.332,0.01,-0.09,-0.31,2.456,3.716,0.30,141.54090,36.80536,3,15

2023-10-01 10:03:13.40,46.5776638,8.0011473,3715.312,0.04,0.02,0.04,2.397,3.641,0.27,141.54090,36.80603,3,15

2023-10-01 10:03:13.60,46.5776637,8.0011472,3715.286,-0.04,-0.13,-0.07,2.346,3.573,0.19,141.54090,36.80650,3,15

2023-10-01 10:03:13.80,46.5776638,8.0011468,3715.297,-0.03,-0.04,-0.11,2.313,3.526,0.30,141.54090,36.80723,3,14

2023-10-01 10:03:14.00,46.5776637,8.0011465,3715.260,-0.18,-0.11,0.09,2.274,3.471,0.21,141.54090,36.80779,3,15

