Time,lat ,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
2023-10-02 11:15:12.00,46.5171896,7.9253405,2702.014,0.03,0.17,-0.02,40.080,40.942,0.25,0.00000,61.53013,3,8

2023-10-02 11:15:12.20,46.5171715,7.9253446,2700.802,-0.09,0.10,0.02,26.782,23.252,0.47,0.00000,61.53081,3,8

2023-10-02 11:15:12.40,46.5171744,7.9253412,2700.179,-0.07,-0.03,-0.08,24.103,24.625,0.48,0.00000,61.53152,3,11

2023-10-02 11:15:12.60,46.5171744,7.9253432,2699.307,0.05,0.03,-0.16,18.934,21.542,0.43,0.00000,61.53215,3,11

2023-10-02 11:15:12.80,46.5171675,7.9253489,2698.871,0.06,-0.04,-0.23,15.378,18.917,0.38,0.00000,61.53271,3,11

2023-10-02 11:15:13.00,46.5171678,7.9253499,2698.247,0.06,-0.10,-0.19,12.666,16.331,0.30,0.00000,61.53315,3,11

2023-10-02 11:15:13.20,46.5171676,7.9253529,2698.166,0.06,-0.03,-0.18,10.676,14.151,0.28,0.00000,61.53357,3,11

2023-10-02 11:15:13.40,46.5171705,7.9253599,2698.278,0.07,-0.03,-0.17,9.092,12.383,0.25,0.00000,61.53394,3,13

2023-10-02 11:15:13.60,46.5171731,7.9253603,2698.346,0.09,0.03,-0.06,7.760,10.810,0.18,0.00000,61.53419,3,14

2023-10-02 11:15:13.80,46.5171766,7.9253653,2698.957,-0.01,0.03,-0.12,6.757,9.603,0.21,0.00000,61.53451,3,14

2023-10-02 11:15:14.00,46.5171797,7.9253658,2699.290,0.00,0.10,-0.03,5.975,8.648,0.15,0.00000,61.53473,3,14

2023-10-02 11:15:14.20,46.5171827,7.9253667,2699.748,0.01,0.05,-0.07,5.368,7.888,0.21,0.00000,61.53503,3,14

2023-10-02 11:15:14.40,46.5171849,7.9253676,2699.923,-0.04,0.03,-0.02,4.917,7.309,0.20,0.00000,61.53532,3,14

2023-10-02 11:15:14.60,46.5171870,7.9253675,2700.025,0.00,-0.01,-0.06,4.533,6.809,0.18,0.00000,61.53559,3,14

2023-10-02 11:15:14.80,46.5171898,7.9253681,2700.105,-0.01,-0.03,-0.02,4.223,6.403,0.12,0.00000,61.53577,3,14

2023-10-02 11:15:15.00,46.5171925,7.9253683,2700.141,0.04,0.00,-0.05,3.966,6.052,0.15,0.00000,61.53599,3,14

2023-10-02 11:15:15.20,46.5171945,7.9253683,2700.271,0.06,0.03,-0.02,3.751,5.754,0.13,0.00000,61.53618,3,14

2023-10-02 11:15:15.40,46.5171960,7.9253684,2700.368,0.01,0.06,-0.02,3.570,5.496,0.14,0.00000,61.53638,3,16

2023-10-02 11:15:15.60,46.5171971,7.9253686,2700.357,0.04,0.05,-0.04,3.418,5.275,0.16,0.00000,61.53661,3,16

2023-10-02 11:15:15.80,46.5171979,7.9253684,2700.277,0.04,0.00,-0.03,3.280,5.076,0.15,0.00000,61.53682,3,16

2023-10-02 11:15:16.00,46.5171985,7.9253685,2700.239,0.01,0.01,-0.06,3.157,4.895,0.18,0.00000,61.53708,3,16

2023-10-02 11:15:16.20,46.5171988,7.9253691,2700.217,0.03,0.05,-0.07,3.051,4.737,0.19,0.00000,61.53736,3,16

2023-10-02 11:15:16.40,46.5171991,7.9253699,2700.159,-0.06,0.09,-0.13,2.962,4.603,0.23,0.00000,61.53769,3,16

2023-10-02 11:15:16.60,46.5171992,7.9253705,2700.103,-0.06,0.12,-0.07,2.880,4.482,0.21,0.00000,61.53799,3,16

2023-10-02 11:15:16.80,46.5171993,7.9253711,2700.158,0.06,0.16,-0.30,2.796,4.360,0.19,0.00000,61.53850,3,16

2023-10-02 11:15:17.00,46.5171995,7.9253709,2700.198,-0.03,-0.52,-0.11,2.718,4.223,0.11,272.31142,15.44903,3,16

2023-10-02 11:15:17.20,46.5171991,7.9253706,2700.196,-0.49,0.10,0.16,2.650,4.106,0.13,213.63078,13.48010,3,16

2023-10-02 11:15:17.40,46.5171984,7.9253707,2700.248,-0.21,-0.13,0.04,2.591,4.008,0.14,213.36986,32.29073,3,16

2023-10-02 11:15:17.60,46.5171978,7.9253701,2700.269,-0.31,-0.37,0.08,2.547,3.933,0.17,227.45424,15.24925,3,16

2023-10-02 11:15:17.80,46.5171974,7.9253696,2700.258,-0.07,0.10,-0.10,2.506,3.869,0.23,227.45424,15.25060,3,15

2023-10-02 11:15:18.00,46.5171973,7.9253696,2700.283,0.01,-0.03,-0.13,2.470,3.814,0.25,227.45424,15.25210,3,15

2023-10-02 11:15:18.20,46.5171975,7.9253693,2700.277,0.17,0.07,-0.27,2.434,3.759,0.23,227.45424,15.25404,3,15

2023-10-02 11:15:18.40,46.5171979,7.9253690,2700.315,0.44,-0.08,-0.23,2.397,3.700,0.15,269.75136,20.97047,3,15

2023-10-02 11:15:18.60,46.5171982,7.9253687,2700.330,0.08,-0.02,-0.11,2.357,3.635,0.21,269.75136,20.97137,3,15

2023-10-02 11:15:18.80,46.5171981,7.9253683,2700.366,0.01,-0.02,-0.18,2.319,3.574,0.23,269.75136,20.97233,3,15

2023-10-02 11:15:19.00,46.5171980,7.9253679,2700.355,0.04,-0.01,-0.13,2.282,3.517,0.22,269.75136,20.97326,3,15

2023-10-02 11:15:19.20,46.5171979,7.9253677,2700.389,0.00,0.09,-0.08,2.248,3.465,0.15,269.75136,20.97390,3,15

2023-10-02 11:15:19.40,46.5171977,7.9253676,2700.421,0.02,0.04,-0.13,2.216,3.414,0.20,269.75136,20.97475,3,16

2023-10-02 11:15:19.60,46.5171976,7.9253675,2700.432,0.09,0.09,-0.09,2.186,3.365,0.16,269.75136,20.97543,3,17

2023-10-02 11:15:19.80,46.5171976,7.9253673,2700.444,0.03,0.01,-0.12,2.155,3.314,0.20,269.75136,20.97628,3,17

2023-10-02 11:15:20.00,46.5171973,7.9253670,2700.494,-0.01,-0.05,-0.09,2.126,3.266,0.20,269.75136,20.97714,3,17

2023-10-02 11:15:20.20,46.5171972,7.9253666,2700.517,0.17,-0.06,-0.10,2.098,3.219,0.16,285.72468,39.30469,3,17

2023-10-02 11:15:20.40,46.5171970,7.9253663,2700.545,-0.05,0.10,-0.10,2.070,3.173,0.12,285.72468,39.30504,3,17

2023-10-02 11:15:20.60,46.5171966,7.9253662,2700.543,-0.09,0.03,-0.02,2.044,3.129,0.11,285.72468,39.30528,3,17

2023-10-02 11:15:20.80,46.5171960,7.9253658,2700.487,-0.35,-0.14,0.14,2.019,3.088,0.15,217.29508,18.87670,3,17

2023-10-02 11:15:21.00,46.5171953,7.9253646,2700.434,-0.25,-0.58,0.22,2.000,3.050,0.17,237.59912,12.37500,3,17

2023-10-02 11:15:21.20,46.5171948,7.9253634,2700.354,-0.09,-0.28,-0.10,1.982,3.018,0.24,240.46134,25.53015,3,17

2023-10-02 11:15:21.40,46.5171945,7.9253628,2700.327,-0.07,-0.19,-0.03,1.966,2.988,0.28,243.38984,35.75644,3,16

2023-10-02 11:15:21.60,46.5171944,7.9253624,2700.342,0.18,0.10,-0.23,1.948,2.957,0.28,243.38984,35.75722,3,16

2023-10-02 11:15:21.80,46.5171945,7.9253623,2700.407,0.21,0.09,-0.14,1.930,2.922,0.15,325.24200,30.27272,3,16

2023-10-02 11:15:22.00,46.5171946,7.9253623,2700.455,0.16,0.00,-0.19,1.911,2.888,0.19,325.24200,30.27347,3,16

